id_proveedor,empresa,telefono
1,Cabán-Zamudio,(170)382-0283x45821
2,Castro y Velásquez y Asociados,517.906.4463x9142
3,Hernández-Cano A.C.,1-376-743-9054
4,Esparza S. R.L. de C.V.,1-732-767-9464
5,Proyectos Blanco y Alcaraz,(642)746-7399x05112
6,Enríquez-Viera,(032)465-1645x73632
7,Carbajal y Gamboa S.A.,+74(0)4990999962
8,Industrias Santacruz y Osorio,1-532-206-1675x965
9,Escobedo y Ballesteros A.C.,(991)973-4750
10,Guevara-Soria,123.296.3581
11,"Corporacin Ortiz, Guevara y Cordero",(041)731-4103x05307
12,"Casares, Saldaña y Navarro",113.551.2008x390
13,Orta y Llamas S.A.,1-100-908-3607
14,"Despacho Espinoza, Ozuna y del Valle",1-583-013-2816x70763
15,"Cardenas, Melgar y Terán",1-848-238-3607x62480
16,Prado-Saiz,664-622-2417x58468
17,Grupo Ulibarri y Puente,186.231.3127
18,Batista-Abreu S. R.L. de C.V.,1-537-437-4266
19,"Industrias Bañuelos, Barrientos y Soliz",(647)080-3056x852
20,"Rivas, Zapata y Vera",129.580.2869
21,Rael-Llamas S.A.,599.263.4261x40604
22,Cordero S.A. de C.V.,(703)552-2311
23,Castellanos S.A.,228-915-9533x645
24,"Alemán, Zapata y Porras",593-970-0543
25,"Patiño, Lugo y Cisneros",1-763-556-6603x482
26,Armas S.A.,1-866-434-5968x5678
27,Industrias Partida-Reyes,369-324-4207x984
28,Corporacin Pulido y Vela,1-342-732-8164x0961
29,Frías-Concepción,(705)776-2453
30,Grupo Garibay y Mota,1-141-910-1946x94298
