id_venta,fecha,id_cliente,id_producto,id_sucursal,cantidad,total
1,2025-12-12,249,46,1,5,11344.52
2,2026-02-07,259,41,1,3,8134.36
3,2026-04-11,486,34,4,1,3032.23
4,2026-05-27,107,47,2,4,5139.08
5,2026-03-22,284,11,4,1,8581.4
6,2026-01-26,469,33,4,3,2799.12
7,2026-01-26,178,33,2,2,3910.61
8,2026-02-18,356,14,2,3,6239.94
9,2026-05-08,135,21,3,4,12581.14
10,2026-04-16,357,46,4,4,8672.26
11,2026-05-15,265,19,3,2,12417.96
12,2026-04-18,58,19,3,3,13884.68
13,2026-02-09,190,17,2,1,1986.05
14,2026-05-18,36,41,3,5,3788.55
15,2026-04-23,3,3,3,3,13507.19
16,2026-05-15,28,40,4,4,12589.02
17,2026-05-17,151,21,4,5,4935.63
18,2026-03-31,33,45,1,3,5095.65
19,2026-02-20,437,37,1,4,13039.85
20,2026-03-05,358,23,1,2,12309.39
21,2026-01-20,172,7,3,4,12184.29
22,2026-01-23,124,37,4,3,3684.76
23,2026-01-11,485,7,2,2,4975.44
24,2026-05-29,399,26,4,4,2001.63
25,2025-12-25,486,21,3,3,5666.43
26,2026-02-02,363,29,4,2,9257.0
27,2026-01-26,140,17,4,5,719.94
28,2026-03-19,448,26,3,3,1171.95
29,2026-03-28,168,39,2,2,7866.28
30,2026-04-07,390,4,1,4,10241.92
31,2026-02-08,331,21,2,3,13363.23
32,2026-05-13,466,17,3,2,2579.9
33,2026-03-22,165,36,2,1,795.3
34,2026-03-02,431,50,4,3,14341.71
35,2026-01-03,290,13,4,1,14527.76
36,2026-06-07,460,26,2,2,7397.88
37,2026-04-01,25,37,3,4,14282.48
38,2026-02-06,4,45,1,4,8120.9
39,2026-04-14,493,43,3,2,12487.73
40,2026-03-06,489,5,3,5,9992.78
41,2025-12-26,407,3,1,5,1390.3
42,2026-02-23,421,36,1,1,7077.4
43,2025-12-18,202,25,4,3,9451.11
44,2026-03-25,174,46,2,3,6513.93
45,2026-01-19,2,31,4,3,9391.78
46,2026-05-01,51,3,3,5,2640.35
47,2026-04-25,200,8,3,2,586.7
48,2026-03-07,92,9,1,3,11265.91
49,2026-01-07,122,7,4,3,4817.7
50,2026-01-16,480,24,2,4,6485.57
51,2026-05-22,437,47,3,2,2221.36
52,2026-05-14,447,5,4,1,13187.06
53,2026-04-21,236,32,4,5,6558.8
54,2025-12-24,20,2,4,3,7836.68
55,2026-02-26,494,26,3,4,8924.35
56,2026-04-04,202,15,3,2,3289.1
57,2026-02-03,242,31,3,1,5889.92
58,2026-05-27,312,34,4,4,11825.53
59,2025-12-19,220,25,1,5,13861.67
60,2026-06-04,425,12,4,2,13163.83
61,2026-05-17,127,50,3,4,7511.89
62,2026-01-30,269,13,1,4,4038.63
63,2026-05-10,187,34,2,2,2155.07
64,2026-01-09,348,31,1,2,14641.42
65,2026-03-20,267,31,3,1,12385.26
66,2026-01-01,95,10,4,3,10988.54
67,2026-03-03,372,45,2,5,11936.79
68,2026-02-01,476,32,1,5,8982.29
69,2026-06-01,277,31,4,5,14854.59
70,2026-03-03,460,9,2,5,9336.49
71,2026-04-24,201,37,3,1,2758.71
72,2026-04-24,128,13,4,3,11675.71
73,2026-04-18,141,6,4,2,2023.78
74,2026-03-07,107,29,4,2,7551.74
75,2025-12-31,182,38,2,4,8351.45
76,2026-05-31,214,20,1,1,13922.2
77,2026-04-06,380,44,4,2,1856.47
78,2026-05-25,33,49,2,5,12686.37
79,2026-03-09,497,7,4,2,1282.13
80,2025-12-21,294,39,2,1,10434.15
81,2026-05-11,455,46,4,1,11592.15
82,2026-02-13,119,42,4,5,1015.29
83,2026-05-05,11,41,4,4,10472.67
84,2026-04-18,102,7,1,1,11978.17
85,2026-01-04,10,6,1,4,2079.9
86,2026-02-10,466,28,3,2,14943.14
87,2026-02-16,370,44,1,2,3025.21
88,2025-12-10,223,14,1,5,5976.12
89,2026-04-29,118,48,1,2,11942.21
90,2026-06-02,274,24,3,2,8663.8
91,2026-01-19,185,46,4,4,14280.36
92,2026-03-13,25,22,2,3,5630.52
93,2026-03-17,418,32,4,3,1349.95
94,2026-04-09,444,24,1,1,4233.17
95,2026-05-18,446,49,1,4,6781.94
96,2026-04-03,421,2,3,3,3141.88
97,2026-06-07,483,15,4,5,7140.98
98,2026-01-03,67,43,3,2,14414.13
99,2026-03-29,74,28,1,4,2502.77
